"filename", "language", "Python", "HTML", "SCSS", "JavaScript", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_badge.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 4, 9, 41
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_breadcrumb.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_cards-extend.scss", "SCSS", 0, 0, 25, 0, 0, 0, 0, 2, 2, 29
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_cards.scss", "SCSS", 0, 0, 52, 0, 0, 0, 0, 1, 13, 66
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_choices.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_dark-version.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_dropdowns.scss", "SCSS", 0, 0, 39, 0, 0, 0, 0, 1, 14, 54
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_fixed-plugin.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_form-switch.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_full-calendar.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_header.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_info-areas.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_misc-extend.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 5, 13, 49
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_misc.scss", "SCSS", 0, 0, 32, 0, 0, 0, 0, 10, 18, 60
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_navbar-vertical.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 4, 6, 66
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_navbar.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_pagination.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 1, 5, 20
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_ripple.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 1, 6, 33
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_rtl.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_social-buttons.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 1, 2, 29
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_table.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_timeline.scss", "SCSS", 0, 0, 15, 0, 0, 0, 0, 1, 5, 21
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_utilities-extend.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 6, 6, 33
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_utilities.scss", "SCSS", 0, 0, 159, 0, 0, 0, 0, 14, 19, 192
"c:\Users\xandee\Desktop\python\django\jfs\portal\static\scss\material-dashboard\variables\_virtual-reality.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\404.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\bases\base-admin.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\bases\base-staff.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 0, 0, 51
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\bases\base-student.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\bases\base.html", "HTML", 0, 400, 0, 0, 0, 0, 0, 13, 12, 425
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\change-password.html", "HTML", 0, 484, 0, 0, 0, 0, 0, 0, 9, 493
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\dashboard.html", "HTML", 0, 456, 0, 0, 0, 0, 0, 0, 0, 456
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\login.html", "HTML", 0, 120, 0, 0, 0, 0, 0, 10, 3, 133
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\messages.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\xandee\Desktop\python\django\jfs\portal\templates\profile.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 3, 3, 169
"c:\Users\xandee\Desktop\python\django\jfs\portal\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\xandee\Desktop\python\django\jfs\portal\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\xandee\Desktop\python\django\jfs\portal\views.py", "Python", 41, 0, 0, 0, 0, 0, 0, 1, 8, 50
"Total", "-", 874, 5397, 28848, 11042, 5359, 44102, 174, 5639, 15272, 116707
